participant_group,round,player_name,team,team_code,position,effective_position,is_playing_xi,sub_order,captain_flag,vice_flag,fantasy_points_final,potm_bonus,points_multiplier,counted_points,counted_points_type,subbed_out,subbed_in,final_playing_xi,team_round,match_date,match_id,chip_converter,chip_best11,chip_flexicap,chip_matchwinner,points_breakdown_str
Group 4,3,Aiden Markram,South Africa,SA,AR,AR,1,0,0,0,173.0,0,1,173.0,PLAYING_XI,0,0,1,3,2026-02-14,1512742,0,0,0,0,Runs: 86 → 86 | Fours: 8 → 32 | Sixes: 4 → 24 | Runs milestone bonus: 86 → 12 | Dot balls: 1 → 1 | Catches: 1 → 8 | Strike Rate: 195.45 → 6 | Announced: 1 → 4
Group 4,3,Faheem Ashraf,Pakistan,PAK,AR,AR,1,0,0,0,18.0,0,1,18.0,PLAYING_XI,0,0,1,3,2026-02-15,1512745,0,0,0,0,Runs: 10 → 10 | Fours: 1 → 4 | Announced: 1 → 4
Group 4,3,Mitchell Marsh,Australia,AUS,AR,AR,1,0,0,0,116.0,0,1,116.0,PLAYING_XI,0,0,1,3,2026-02-16,1512748,0,0,0,0,Runs: 54 → 54 | Fours: 8 → 32 | Sixes: 2 → 12 | Runs milestone bonus: 54 → 8 | Strike Rate: 200.0 → 6 | Announced: 1 → 4
Group 4,3,Mitchell Santner,New Zealand,NZ,AR,AR,1,0,0,0,5.0,0,1,5.0,PLAYING_XI,0,0,1,3,2026-02-14,1512742,0,0,0,0,Runs: 4 → 4 | Dot balls: 3 → 3 | Strike Rate: 40.0 → -6 | Announced: 1 → 4
Group 4,3,Shivam Dube,India,IND,AR,AR,1,0,1,0,73.0,0,2,146.0,PLAYING_XI,0,0,1,3,2026-02-15,1512745,0,0,0,0,Runs: 27 → 27 | Fours: 3 → 12 | Sixes: 1 → 6 | Runs milestone bonus: 27 → 4 | Catches: 2 → 16 | Strike Rate: 158.82 → 4 | Announced: 1 → 4
Group 4,3,Josh Tongue,England,ENG,BOWL,BOWL,1,0,0,0,0.0,0,1,0.0,PLAYING_XI,0,0,1,3,2026-02-14,1512741,0,0,0,0,DID NOT PLAY
Group 4,3,Kuldeep Yadav,India,IND,BOWL,BOWL,1,0,0,0,48.0,0,1,48.0,PLAYING_XI,0,0,1,3,2026-02-15,1512745,0,0,0,0,Wickets: 1 → 30 | Dot balls: 8 → 8 | Economy Rate: 4.67 → 6 | Announced: 1 → 4
Group 4,3,Usman Tariq,Pakistan,PAK,BOWL,BOWL,1,0,0,0,46.0,0,1,46.0,PLAYING_XI,0,0,1,3,2026-02-15,1512745,0,0,0,0,Wickets: 1 → 30 | Dot balls: 10 → 10 | Economy Rate: 6.0 → 2 | Announced: 1 → 4
Group 4,3,Varun Chakaravarthy,India,IND,BOWL,BOWL,1,0,0,1,84.0,0,1,84.0,PLAYING_XI,0,0,1,3,2026-02-15,1512745,0,0,0,0,Wickets: 2 → 60 | LBW/Bowled bonus: 1 → 8 | Dot balls: 8 → 8 | Economy Rate: 5.67 → 4 | Announced: 1 → 4
Group 4,3,Johnson Charles,West Indies,WI,WK,WK,1,0,0,0,0.0,0,1,0.0,SUB,1,0,0,3,2026-02-15,1512743,0,0,0,0,DID NOT PLAY
