player_name_str,canonical_player_name,fantasy_points_final,points_pairs_str,nation_code,role,match_id,team1,team2,runs,balls_faced,fours,sixes,is_out,wickets,bowled_lbw_wickets,maidens,legal_balls_bowled,runs_conceded_by_bowler,dot_balls,catches,stumpings,runouts_direct,runouts_indirect,strike_rate,bowling_economy,played_match_flag,is_captain_flag,is_vicecaptain_flag,runs_points_int,boundary_points_int,six_points_int,milestone_bonus_points_int,duck_points_int,wicket_points_int,lbw_bowled_bonus_points_int,maiden_points_int,wicket_haul_bonus_points_int,dot_ball_points_int,catch_points_int,catch_3_bonus_points_int,stumping_points_int,runout_direct_points_int,runout_indirect_points_int,strike_rate_points_int,economy_rate_points_int,appearance_points_int,batting_points_int,bowling_points_int,fielding_points_int,base_total_points_int,captain_multiplier_int,final_total_points_int,fantasy_points_int,eligible_fantasy_points_int,match_date_x,match_label_x,team_code,json_name_key,match_date_y,match_label_y
HC Brook,Harry Brook,103,Runs: 53 → 53 | Fours: 4 → 16 | Sixes: 3 → 18 | Runs milestone bonus: 53 → 8 | Strike Rate: 165.62 → 4 | Announced: 1 → 4,ENG,BAT,1512723,England,Nepal,53,32,4,3,1,0,0,0,0,0,0,0,0,0,0,165.62,0.0,1,0,0,53,16,18,8,0,0,0,0,0,0,0,0,0,0,0,4,0,4,95,0,0,103,1,103,103,103,,,England,hc brook,2026-02-08,England vs Nepal
SM Curran,Sam Curran,46,Runs: 2 → 2 | Wickets: 1 → 30 | Dot balls: 8 → 8 | Economy Rate: 6.75 → 2 | Announced: 1 → 4,ENG,AR,1512723,England,Nepal,2,8,0,0,1,1,0,0,24,27,8,0,0,0,0,25.0,6.75,1,0,0,2,0,0,0,0,30,0,0,0,8,0,0,0,0,0,0,2,4,2,30,0,46,1,46,46,46,,,England,sm curran,2026-02-08,England vs Nepal
WG Jacks,Will Jacks,122,Runs: 39 → 39 | Fours: 1 → 4 | Sixes: 4 → 24 | Runs milestone bonus: 39 → 4 | Wickets: 1 → 30 | Dot balls: 3 → 3 | Catches: 1 → 8 | Strike Rate: 216.67 → 6 | Announced: 1 → 4,ENG,AR,1512723,England,Nepal,39,18,1,4,0,1,0,0,12,17,3,1,0,0,0,216.67,8.5,1,0,0,39,4,24,4,0,30,0,0,0,3,8,0,0,0,0,6,0,4,71,30,8,122,1,122,122,122,,,England,wg jacks,2026-02-08,England vs Nepal
JC Archer,Jofra Archer,42,Runs: 1 → 1 | Wickets: 1 → 30 | Dot balls: 9 → 9 | Economy Rate: 10.5 → -2 | Announced: 1 → 4,ENG,BOWL,1512723,England,Nepal,1,3,0,0,1,1,0,0,24,42,9,0,0,0,0,33.33,10.5,1,0,0,1,0,0,0,0,30,0,0,0,9,0,0,0,0,0,0,-2,4,1,30,0,42,1,42,42,42,,,England,jc archer,2026-02-08,England vs Nepal
LA Dawson,Liam Dawson,78,Wickets: 2 → 60 | Dot balls: 10 → 10 | Economy Rate: 5.25 → 4 | Announced: 1 → 4,ENG,AR,1512723,England,Nepal,0,0,0,0,0,2,0,0,24,21,10,0,0,0,0,0.0,5.25,1,0,0,0,0,0,0,0,60,0,0,0,10,0,0,0,0,0,0,4,4,0,60,0,78,1,78,78,78,,,England,la dawson,2026-02-08,England vs Nepal
AU Rashid,Adil Rashid,1,Dot balls: 3 → 3 | Economy Rate: 14.0 → -6 | Announced: 1 → 4,ENG,BOWL,1512723,England,Nepal,0,0,0,0,0,0,0,0,18,42,3,0,0,0,0,0.0,14.0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,-6,4,0,0,0,1,1,1,1,1,,,England,au rashid,2026-02-08,England vs Nepal
L Wood,Luke Wood,56,Wickets: 1 → 30 | LBW/Bowled bonus: 1 → 8 | Dot balls: 8 → 8 | Catches: 1 → 8 | Economy Rate: 10.33 → -2 | Announced: 1 → 4,ENG,BOWL,1512723,England,Nepal,0,0,0,0,0,1,1,0,18,31,8,1,0,0,0,0.0,10.33,1,0,0,0,0,0,0,0,30,8,0,0,8,8,0,0,0,0,0,-2,4,0,38,8,56,1,56,56,56,,,England,l wood,2026-02-08,England vs Nepal
P Nissanka,Pathum Nissanka,38,Runs: 24 → 24 | Fours: 1 → 4 | Sixes: 1 → 6 | Announced: 1 → 4,SL,BAT,1512724,Sri Lanka,Ireland,24,23,1,1,1,0,0,0,0,0,0,0,0,0,0,104.35,0.0,1,0,0,24,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,34,0,0,38,1,38,38,38,,,Sri Lanka,p nissanka,2026-02-08,Sri Lanka vs Ireland
K Mishara,Kamil Mishara,34,Runs: 14 → 14 | Fours: 2 → 8 | Catches: 1 → 8 | Announced: 1 → 4,SL,WK,1512724,Sri Lanka,Ireland,14,11,2,0,1,0,0,0,0,0,0,1,0,0,0,127.27,0.0,1,0,0,14,8,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,4,22,0,8,34,1,34,34,34,,,Sri Lanka,k mishara,2026-02-08,Sri Lanka vs Ireland
BKG Mendis,Kusal Mendis,102,Runs: 56 → 56 | Fours: 5 → 20 | Runs milestone bonus: 56 → 8 | Stumpings: 1 → 12 | Strike Rate: 130.23 → 2 | Announced: 1 → 4,SL,WK,1512724,Sri Lanka,Ireland,56,43,5,0,0,0,0,0,0,0,0,0,1,0,0,130.23,0.0,1,0,0,56,20,0,8,0,0,0,0,0,0,0,0,12,0,0,2,0,4,84,0,12,102,1,102,102,102,,,Sri Lanka,kusal mendis,2026-02-08,Sri Lanka vs Ireland
